SiteCode,Determination_Tentative,SiteSource
CAAW0407,E,USGS
CAAW0409,E,USGS
CAAW0418,E,Chad Loflen
CAAW0393,E,USGS
CAAW0397,E,Chris Solek
CAAW0430,P,Andy Rehn
CAAW0432,I,Andy Rehn
CAAW0441,P,Chad Loflen
CAAW0446,E,Chad Loflen
CAAW0449,I,Chad Loflen
CAAW0471,I,Chad Loflen
CAAW0473,E,"
Chad Loflen"
CAAW0260,P,USGS
CAAW0266,E,Chris Solek
CAAW0267,E,Chris Solek
CAAW0269,E,USGS
CAAW0270,P,USGS
CAAW0271,E,Chris Solek
CAAW0273,I,USGS
CAAW0361,E,Chris Solek
CAAW0377,P,Andy Rehn
CAAW0395,E,Chris Solek
CAAW0391,E,USGS
CAAW0401,I,Andy Rehn
CAAW0405,I,Andy Rehn
CAAW0413,E,Chris Solek
CAAW0454,P,Andy Rehn
CAAW0243,E,USGS
CAAW0259,I,USGS
CAAW0262,P,USGS
CAAW9014,E,GIS
CAAW0265,I,USGS
CAAW0270,P,USGS
CAAW9015,E,GIS
CAAW9016,E,GIS
CAWM0477,I,Marisa Parish of Riverkeeper
CAWM0478,I,Marisa Parish of Riverkeeper
CAWM0479,P,USGS
CAWM0494,P,USGS
CAWM1869,E,Blodgett et al. 1985
CAWM1870,E,Blodgett et al. 1985
CAWM1871,E,Don Lee
CAWM9001,E,GIS
CAWM9002,E,GIS
CAWM0525,E,Mason Landon
CAWM0543,P,USGS
CAWM0546,P,USGS
CAWM0549,I,Mason Landon
CAWM1888,I,Keith Bouma-Greson
CAWM9003,E,GIS
CAWM9004,E,GIS
CAWM9005,E,GIS
CAWM9006,E,GIS
CAWM9011,E,GIS
CAWM0565,P,USGS
CAWM0566,P,USGS
CAWM0588,I,USGS
CAWM1831,I,Andy Rehn
CAWM1837,I,"
Godsey & Kirchner 2014"
CAWM9007,E,GIS
CAWM9008,E,GIS
CAWM9236,E,GIS
CAWM9237,E,GIS
CAWM9238,E,GIS
CAWM0677,I,USGS
CAWM0678,P,USGS
CAWM0684,I,USGS
CAWM0724,P,USGS
CAWM9009,E,GIS
CAWM9010,E,GIS
CAWM9012,E,GIS
CAWM9235,E,GIS
CAWM0507,P,USGS
CAWM0514,P,USGS
CAWM0522,I,Mason Landon
CAWM0523,I,Mason Landon
CAWM1891,E,Keith Bouma-Greson
CAWM1895,E,Lovill et al. 2018
CAWM1899,E,Lovill et al. 2018
CAWM1902,E,Lovill et al. 2018
NVAW1236,P,Boris Poff
NVAW1237,I,Boris Poff
NVAW1238,E,Boris Poff
NVAW1239,I,Boris Poff
NVAW1240,P,Boris Poff
NVAW1241,E,Boris Poff
NVAW1243,E,Boris Poff
NVAW1205,P,USGS
NVAW1206,I,USGS
NVAW1210,I,USGS
NVAW1211,P,USGS
NVAW9230,E,GIS
NVAW9231,E,GIS
NVAW9232,E,GIS
NVAW9233,E,GIS
NVAW1187,E,USGS
NVAW1195,P,USGS
NVAW1196,P,USGS
NVAW1197,I,USGS
NVAW1199,I,USGS
NVAW9017,E,GIS
NVAW9018,E,GIS
NVAW1182,I,USGS
NVAW1179,P,USGS
NVAW1180,P,USGS
NVAW1191,I,USGS
NVAW9019,E,GIS
NVAW9020,E,GIS
NVAW9234,E,GIS
CAWM1822,I,Sean Tevlin
CAWM1823,I,Sean Tevlin
NVWM1251,P,USGS
NVWM1255,P,USGS
CAWM9034,E,GIS
CAWM9035,E,GIS
NVAW9225,E,GIS
NVAW1200,I,USGS
NVAW1201,I,USGS
NVAW1208,P,USGS
NVAW1219,P,USGS
NVAW9226,E,GIS
NVAW9227,E,GIS
NVAW9228,E,GIS
NVAW9229,E,GIS
CAWM9036,E,GIS
CAWM9037,E,GIS
CAAW9239,P,USGS
CAAW9240,P,BPJ
CAAW9241,I,BPJ
CAAW9242,P,BPJ
CAAW9243,E,BPJ
CAAW9244,I,BPJ
CAAW9245,I,BPJ
CAAW9246,I,BPJ
CAAW9247,P,BPJ
CAAW9248,I,BPJ
CAAW9249,E,BPJ
AZAW0009,I,USGS
AZAW0014,P,USGS
AZAW0022,I,USGS
AZAW0033,E,John Olson
AZAW0036,P,USGS
AZAW0053,E,Bryant Dickens and Patti Spindler
AZAW0059,P,USGS
AZAW0060,I,USGS
AZAW0061,I,Bryant Dickens and Patti Spindler
AZAW0066,E,Bryant Dickens and Patti Spindler
AZAW0067,P,USGS
AZAW0081,P,USGS
AZAW0082,E,Mike Bogan
AZAW0083,I,Bryant Dickens and Patti Spindler
AZAW0084,I,Mike Bogan
AZAW0085,E,Mike Bogan
AZAW0095,P,USGS
AZAW0096,E,USGS
AZAW0099,E,Bryant Dickens and Patti Spindler
AZAW0103,P,USGS
AZAW0104,I,USGS
AZAW0105,P,Marcia Radke
AZAW0107,I,USGS
AZWM0113,I,AZDEQ
AZWM0114,I,USGS
AZWM0116,I,AZDEQ
AZWM0117,I,AZDEQ
AZWM0118,I,AZDEQ
AZWM0119,P,USGS
AZWM0120,P,USGS
AZWM0121,I,USGS
AZWM0122,P,USGS
AZWM0123,I,AZDEQ
COAW0737,P,USGS
COAW0738,I,Lindsey Reynolds
COAW0739,E,Lindsey Reynolds
COAW0740,P,USGS
COAW0741,I,USGS
COAW0746,E,USGS
WYWM0749,P,Lindsey Reynolds
COAW0752,I,Stephanie Kampf
WYAW0753,E,Lindsey Reynolds
WYAW0753,E,Lindsey Reynolds
WYWM0754,I,Lindsey Reynolds
COAW0755,I,Lindsey Reynolds
COAW0756,I,Stephanie Kampf
COAW0759,P,USGS
COAW0760,E,Stephanie Kampf
COAW0761,I,Stephanie Kampf
COAW0762,E,Stephanie Kampf
COAW0763,E,Stephanie Kampf
COAW0765,I,Stephanie Kampf
COAW0768,E,Stephanie Kampf
COAW0770,P,Lindsey Reynolds
WYWM0774,I,Lindsey Reynolds
COAW0786,P,USGS
COAW0777,E,Stephanie Kampf
COAW0778,E,Stephanie Kampf
COAW0779,I,Stephanie Kampf
COWM0780,E,Lindsey Reynolds
COAW0787,P,USGS
COAW0790,P,USGS
COWM0820,I,Stephanie Kampf
COWM0821,I,Stephanie Kampf
COWM0824,P,Stephanie Kampf
COWM0825,E,Stephanie Kampf
COWM0829,E,Stephanie Kampf
COWM0831,P,Stephanie Kampf
COWM0833,E,Stephanie Kampf
COWM0835,E,Stephanie Kampf
COWM0836,E,Stephanie Kampf
COWM0840,E,Stephanie Kampf
COWM0862,I,Stephanie Kampf
COWM0873,I,Stephanie Kampf
COWM0913,E,Stephanie Kampf
COWM0920,E,Stephanie Kampf
COWM0926,E,Stephanie Kampf
COWM0929,E,Stephanie Kampf
COWM0935,P,Stephanie Kampf
COWM0939,P,Stephanie Kampf
COWM0940,I,Stephanie Kampf
COWM0944,I,Stephanie Kampf
COWM0952,I,Stephanie Kampf
COWM0968,E,Stephanie Kampf
COWM0973,P,Stephanie Kampf
COWM1003,E,Stephanie Kampf
UTWM1015,P,Reynolds_56
COWM1029,P,BPJ
COWM1030,I,BPJ
UTAW1044,P,Lindsey Reynolds
UTWM1091,E,Lindsey Reynolds
COWM1093,P,Lindsey Reynolds
COWM1114,P,
COWM1115,P,Stephanie Kampf
COWM1116,I,Stephanie Kampf
UTWM1150,E,Reynolds_57
UTWM1152,P,Reynolds_58
COWM1156,I,Lindsey Reynolds
COWM1170,P,Lindsey Reynolds
NMAW1256,P,USGS
NMAW1257,I,USGS
NMAW1259,I,USGS
NMWM1260,P,USGS
NMAW1262,P,USGS
NMAW1272,I,Kris Barrios
NMAW1273,I,Kris Barrios
NMAW1274,E,Kris Barrios
NMAW1275,P,Kris Barrios
NMAW1276,I,USGS
NMAW1277,P,USGS
NMAW1292,E,BPJ
NMAW1293,I,USGS
NMAW1294,E,USGS
NMAW1295,E,USGS
NMAW1296,E,USGS
NMAW1297,P,USGS
NMAW1298,P,USGS
NMAW1299,I,USGS
NMWM1300,I,USGS
NMWM1301,P,USGS
NMWM1302,I,USGS
NMWM1305,P,USGS
NMWM1314,P,USGS
NMWM1318,E,Malmon et al. 2007
NMWM1319,E,Malmon et al. 2007
NMWM1328,P,USGS
NMWM1331,P,USGS
NMWM1332,P,USGS
NMWM1333,I,USGS
NMWM1335,I,USGS
NMWM1337,P,USGS
NMWM1338,I,USGS
UTAW1358,P,USGS
COAW1359,I,Lindsey Reynolds
UTAW1360,P,USGS
COWM1361,E,Lindsey Reynolds
UTAW1362,P,USGS
UTAW1363,E,Reynolds_59
UTAW1364,P,USGS
COAW1366,I,Lindsey Reynolds
UTAW1367,I,Lindsey Reynolds
COWM1368,P,Lindsey Reynolds
COAW1370,P,Lindsey Reynolds
UTAW1371,I,USGS
UTAW1372,E,Lindsey Reynolds
UTAW1374,I,USGS
COAW1378,E,Lindsey Reynolds
UTAW1379,P,USGS
UTAW1381,P,USGS
UTAW1384,P,USGS
UTAW1385,I,USGS
UTAW1386,P,USGS
UTWM1389,P,USGS
UTWM1390,I,USGS
UTWM1391,P,USGS
UTWM1408,P,USGS
UTAW1420,E,Lindsey Reynolds
COWM1421,I,Lindsey Reynolds
UTWM1422,P,USGS
COWM1430,I,Lindsey Reynolds
UTWM1431,I,USGS
COAW1442,P,Lindsey Reynolds
UTWM1447,I,USGS
UTWM1448,P,USGS
COAW1449,P,Lindsey Reynolds
UTWM1450,P,USGS
UTWM1452,P,USGS
UTWM1454,P,USGS
UTAW1456,I,Lindsey Reynolds
UTAW1460,E,Lindsey Reynolds
WYAW1465,P,USGS
WYAW1468,P,USGS
WYAW1471,P,USGS
WYAW1472,I,USGS
WYAW1473,P,USGS
WYAW1474,I,USGS
WYAW1475,P,USGS
WYAW1476,I,USGS
WYAW1477,P,USGS
WYAW1481,P,USGS
WYAW1487,P,USGS
WYWM1495,P,USGS
WYWM1496,P,USGS
WYWM1500,I,USGS
WYWM1501,P,USGS
WYWM1503,P,USGS
WYWM1506,P,USGS
WYWM1510,P,USGS
WYWM1521,I,Prosper Model
WYWM1523,I,Prosper Model
WYWM1535,I,USGS
WYWM1536,P,USGS
WYWM1538,P,USGS
COAW1539,E,Lindsey Reynolds
WYWM1540,P,USGS
UTAW1542,P,Lindsey Reynolds
UTAW1543,I,Lindsey Reynolds
WYWM1545,P,USGS
MTWM1553,P,USGS
MTWM1563,I,USGS
MTWM1568,P,USGS
AZWM1588,E,Navajo County Alerts
AZWM1589,E,Navajo County Alerts
AZWM1590,E,Navajo County Alerts
AZWM1591,E,Navajo County Alerts
MTWM1711,I,USGS
MTWM1726,I,USGS
MTWM1729,P,USGS
MTWM1736,P,USGS
MTWM1740,P,USGS
MTWM1783,P,USGS
MTWM1785,I?,USGS
MTWM1786,P,USGS
MTWM1820,P,USGS
MTWM1821,P,USGS
WYWM1832,I,Eddy-Miller et al. 2009
AZWM1834,I,Miller et al. 2002
MTWM1835,I,O'Ney et al. 2009.
MTWM1836,I,Kaylor et al. 2015
MTWM1840,I,GNP 2019
WYWM1841,E,Friesen et al. 2010
AZWM1842,E,"
City of Flagstaff Ed Schenk"
AZWM1843,E,City of Flagstaff Ed Schenk
AZWM1845,E,City of Flagstaff Ed Schenk
AZWM1846,E,City of Flagstaff Ed Schenk
AZWM1847,E,City of Flagstaff Ed Schenk
AZWM1848,E,City of Flagstaff Ed Schenk
AZWM1849,E,City of Flagstaff Ed Schenk
AZWM1850,E,City of Flagstaff Ed Schenk
NMWM1851,I,USGS
AZWM1852,I,USGS
AZWM1854,E,USGS
AZWM1855,I,USGS
NMWM1856,P,USGS
AZWM1866,E,Zimmerman et al. 1999
AZWM1867,E,Zimmerman et al. 1999
UTWM1872,E,Robichaud et al. 2019
UTWM1874,E,Robichaud et al. 2019
UTWM1875,E,Robichaud et al. 2019
UTWM1876,E,Robichaud et al. 2019
UTWM1877,E,Robichaud et al. 2019
UTWM1878,E,Robichaud et al. 2019
UTWM1879,E,Robichaud et al. 2019
UTWM1881,E,Robichaud et al. 2019
MTWM1905,E,Andy Brummond
MTWM1906,P,Andy Brummond
MTWM1907,I,Andy Brummond
MTWM1908,E,Mark Ockey
MTWM1909,E,Mark Ockey
MTWM1910,E,Mark Ockey
WYWM1911,E,Eric Hargett
WYWM1912,E,Eric Hargett
WYWM1913,E,Eric Hargett
WYWM1914,E,Eric Hargett
WYWM1915,E,Eric Hargett
WYWM1916,E,Eric Hargett
WYWM1917,E,Eric Hargett
AZAW9022,E,GIS
AZAW9023,E,GIS
AZAW9024,E,GIS
AZAW9026,E,GIS
AZAW9027,E,GIS
AZAW9028,E,GIS
AZAW9029,E,GIS
AZAW9030,E,GIS
AZAW9031,E,GIS
AZAW9032,E,GIS
AZWM9033,E,GIS
NMAW9036,P,County Open Space Plan
NMAW9037,E,https://www.env.nm.gov/wp-content/uploads/sites/25/2019/05/Part-2-from-Pages-from-LaCienegaBook_2-28-2013-2.pdf
NMAW9038,P,County Open Space Plan
NMAW9039,I,BPJ
NMAW9040,P,BPJ
NMAW9041,E,BPJ
NMAW9042,P,BPJ
NMAW9043,E,BPJ
NMAW9044,I,BPJ
NMAW9045,E,GIS
NMAW9046,I,BPJ
NMAW9047,I,BPJ
NMAW9048,E,BPJ
NMWM9049,E,GIS
NMWM9050,I,BPJ
NMWM9051,I,BPJ
NMWM9052,E,GIS
NMWM9053,E,GIS
NMWM9054,E,GIS
NMWM9055,E,GIS
NMWM9056,E,GIS
NMWM9057,E,GIS
NMWM9058,E,GIS
NMWM9059,E,GIS
NMWM9060,E,GIS
NMWM9061,E,GIS
NMWM9062,E,GIS
NMWM9063,E,GIS
NMWM9065,E,GIS
UTAW9066,E,GIS
UTAW9067,E,GIS
UTAW9068,E,GIS
UTAW9069,E,GIS
UTAW9070,E,GIS
UTAW9071,E,GIS
UTAW9072,E,GIS
UTAW9073,E,GIS
UTAW9074,E,GIS
UTAW9075,E,GIS
UTAW9076,E,GIS
UTAW9077,E,GIS
UTAW9078,E,GIS
UTAW9079,E,GIS
UTAW9080,E,GIS
UTAW9081,E,GIS
UTAW9082,E,GIS
UTAW9083,E,GIS
UTAW9084,E,GIS
UTAW9085,E,GIS
UTWM9086,E,GIS
UTWM9087,E,GIS
UTWM9088,E,GIS
UTWM9089,E,GIS
UTWM9090,E,GIS
UTWM9091,E,GIS
UTWM9092,E,GIS
UTWM9093,E,GIS
UTWM9094,E,GIS
UTWM9095,E,GIS
UTWM9096,E,GIS
UTWM9097,E,GIS
UTWM9098,E,GIS
UTWM9099,E,GIS
UTWM9100,E,GIS
COAW9104,E,GIS
COAW9105,E,GIS
COAW9106,E,GIS
COAW9107,E,GIS
COAW9108,E,GIS
COAW9109,E,GIS
COAW9110,E,GIS
COAW9111,E,GIS
COAW9112,E,GIS
COAW9113,E,GIS
COAW9114,E,GIS
COWM9115,E,GIS
COWM9116,E,GIS
COWM9117,E,GIS
COWM9118,E,GIS
COWM9119,E,GIS
COWM9122,E,GIS
COWM9123,E,GIS
COWM9124,E,GIS
COWM9125,E,GIS
COWM9126,E,GIS
WYAW9127,E,GIS
WYAW9128,E,GIS
WYAW9129,E,GIS
WYAW9130,E,GIS
WYAW9131,E,GIS
WYAW9132,E,GIS
WYAW9133,E,GIS
WYAW9134,E,GIS
WYAW9135,E,GIS
WYAW9136,E,GIS
WYAW9137,E,GIS
WYAW9138,E,GIS
WYAW9139,E,GIS
WYAW9140,E,GIS
WYAW9141,E,GIS
WYAW9142,E,GIS
WYAW9143,E,GIS
WYAW9144,E,GIS
WYAW9145,E,GIS
WYWM9146,E,GIS
WYWM9147,E,GIS
WYWM9148,E,GIS
WYWM9149,E,GIS
WYWM9150,E,GIS
WYWM9151,E,GIS
WYWM9152,E,GIS
WYWM9153,E,GIS
WYWM9154,E,GIS
WYWM9155,E,GIS
WYWM9156,E,GIS
WYWM9157,E,GIS
WYWM9158,E,GIS
WYWM9159,E,GIS
WYWM9160,E,GIS
WYWM9161,E,GIS
WYWM9162,E,GIS
SDWM9163,E,GIS
SDWM9164,E,GIS
SDWM9165,E,GIS
WYWM9166,E,GIS
MTWM9167,E,GIS
MTWM9168,E,GIS
MTWM9169,E,GIS
MTWM9170,E,GIS
MTWM9171,E,GIS
MTWM9172,E,GIS
MTWM9173,E,GIS
MTWM9174,E,GIS
MTWM9175,E,GIS
MTWM9176,E,GIS
MTWM9177,E,GIS
MTWM9178,E,GIS
MTWM9179,E,GIS
MTWM9180,E,GIS
MTWM9181,E,GIS
MTWM9182,E,GIS
MTWM9183,E,GIS
MTWM9184,E,GIS
MTWM9185,E,GIS
MTWM9186,E,GIS
MTWM9187,E,GIS
MTWM9188,E,GIS
MTAW9189,P,USGS
TXAW9189,E,USGS
MTAW9190,E,GIS
TXAW9190,I?,BPJ
MTAW9191,E,GIS
TXAW9191,I,BPJ
MTAW9192,E,GIS
TXAW9192,E,BPJ
MTAW9193,E,GIS
TXAW9193,E,BPJ
MTAW9194,E,GIS
TXAW9194,E,BPJ
TXAW9195,E,BPJ
TXAW9197,I,BPJ
TXAW9198,E,BPJ
TXAW9199,I,BPJ
TXAW9200,E,BPJ
TXAW9201,I,BPJ
TXAW9202,I,BPJ
TXAW9205,I or P,BPJ
TXAW9206,I or P,BPJ
TXAW9207,E,GIS
TXAW9208,E,GIS
TXAW9209,I or P,BPJ
TXAW9210,I or P,BPJ
TXAW9211,E,GIS
TXAW9212,E,GIS
TXAW9213,I or P,BPJ
TXAW9214,E,GIS
TXAW9215,P,USGS
TXAW9216,P,USGS
TXAW9219,E,GIS
TXAW9220,E,GIS
NMAW9221,P,BPJ
NMAW9222,E,BPJ
NMAW9223,I,BPJ
NMAW9224,E,BPJ
AZWM9225,E,GIS
NMAW9225,E,GIS
NMAW9226,I,BPJ
NMAW9227,E,GIS
TXAW9250,P,BPJ
TXAW9251,P,BPJ
TXAW9252,P,BPJ
TXAW9253,E,BPJ
TXAW9254,E,BPJ
TXAW9255,E,BPJ
TXAW9256,E,BPJ
TXAW9257,I,BPJ
TXAW9258,E,BPJ
TXAW9259,E,BPJ
TXAW9260,I,BPJ
TXAW9261,E,BPJ
TXAW9262,I,BPJ
TXAW9263,E,BPJ
TXAW9264,E,Local expert Jeff Back
TXAW9265,E,Local expert Jeff Back
TXAW9266,E,Local expert Jeff Back
TXAW9267,I,Local expert Jeff Back
TXAW9268,E,Local expert Jeff Back
TXAW9269,E,Local expert Jeff Back
TXAW9270,I,Local expert Jeff Back
TXAW9271,I,Local expert Jeff Back
TXAW9272,I,Local expert Jeff Back
TXAW9273,I,Local expert Jeff Back
TXAW9274,E,Local expert Jeff Back
TXAW9275,E,Local expert Jeff Back
TXAW9276,I,Local expert Jeff Back
TXAW9277,I,Local expert Jeff Back
TXAW9278,I,Local expert Jeff Back
TXAW9279,I,Local expert Jeff Back
TXAW9280,I,Local expert Jeff Back
TXAW9281,I,Local expert Jeff Back
TXAW9282,E,Local expert Jeff Back
HR_Base,I,ADEQ
HR_R,I,ADEQ
HR_Sols,E,ADEQ
HR_TNC,I,ADEQ
HR1,P,ADEQ
HR2,I,ADEQ
